player_id,period,minutes,goals,assists,progressive_actions,defensive_actions,market_value_m,contract_months_remaining,age,mention_count,positive_examples,negative_examples,source_sentiment,injury_days,injury_count,player_name,lexicon_sentiment,sentiment_score,goals_per_90,assists_per_90,actions_per_90,injury_risk,performance_index,performance_trend,value_lag_1,value_lag_2,next_market_value_m,short_contract,prime_age,position_Defender,position_Forward,position_Goalkeeper,position_Midfielder,club_Athletic Union,club_East City,club_Northbridge FC,club_Real Portside,club_Sporting Vale,country_Argentina,country_Brazil,country_England,country_France,country_Germany,country_Portugal,country_Spain
1,2021Q1,687.9,1,1,17.26,24.64,4.78,27,26.0,1158,Milan Martin looks brilliant after 1158 fan mentions | Milan Martin looks clinical after 1158 fan mentions,Milan Martin feels inconsistent to some supporters,0.2683,5,1,Milan Martin,0.3333333333333333,0.28780999999999995,0.13083296990841692,0.13083296990841692,5.48190143916267,0.05555555555555555,2.7511629597325196,0.0,9.594999999999999,9.5,3.93,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,2021Q2,671.4,1,0,24.98,28.48,3.93,24,26.25,1396,Milan Martin looks brilliant after 1396 fan mentions | Milan Martin looks clinical after 1396 fan mentions,Milan Martin feels inconsistent to some supporters,0.4742,0,0,Milan Martin,0.3333333333333333,0.43194,0.13404825737265416,0.0,7.166219839142092,0.027777777777777776,3.002703306523682,0.25154034679116233,4.78,9.5,4.32,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,2021Q3,777.9,0,0,17.6,25.33,4.32,21,26.5,1289,Milan Martin looks brilliant after 1289 fan mentions | Milan Martin looks clinical after 1289 fan mentions,Milan Martin feels inconsistent to some supporters,0.8846,15,1,Milan Martin,0.3333333333333333,0.71922,0.0,0.0,4.96683378326263,0.07407407407407408,1.6272807130308093,-1.3754225934928725,3.93,4.78,5.43,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,2021Q4,909.6,0,1,24.32,23.51,5.43,18,26.75,1112,Milan Martin looks brilliant after 1112 fan mentions | Milan Martin looks clinical after 1112 fan mentions,Milan Martin feels inconsistent to some supporters,0.6167,12,1,Milan Martin,0.3333333333333333,0.53169,0.0,0.09894459102902374,4.732519788918205,0.08888888888888889,1.8198823658751095,0.1926016528443002,4.32,3.93,5.13,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,2022Q1,761.0,0,0,14.49,26.67,5.13,15,27.0,1219,Milan Martin looks brilliant after 1219 fan mentions | Milan Martin looks clinical after 1219 fan mentions,Milan Martin feels inconsistent to some supporters,0.8001,0,0,Milan Martin,0.3333333333333333,0.6600699999999999,0.0,0.0,4.867805519053877,0.075,1.5912319316688568,-0.22865043420625275,5.43,4.32,5.16,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,2022Q2,496.8,0,0,19.89,28.56,5.16,12,27.25,1176,Milan Martin looks brilliant after 1176 fan mentions,Milan Martin feels inconsistent to some supporters | Milan Martin feels overpriced to some supporters,-0.2989,13,1,Milan Martin,-0.3333333333333333,-0.30923,0.0,0.0,8.777173913043478,0.1111111111111111,2.9053442028985508,1.314112271229694,5.13,5.43,4.98,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,2022Q3,710.5,0,0,20.37,29.95,4.98,9,27.5,1246,Milan Martin looks brilliant after 1246 fan mentions | Milan Martin looks clinical after 1246 fan mentions,Milan Martin feels inconsistent to some supporters,0.4062,0,0,Milan Martin,0.3333333333333333,0.38433999999999996,0.0,0.0,6.374102744546095,0.06944444444444445,2.1267692939244665,-0.7785749089740843,5.16,5.13,5.13,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,2022Q4,770.4,0,0,30.33,28.16,5.13,6,27.75,1117,Milan Martin looks brilliant after 1117 fan mentions | Milan Martin looks clinical after 1117 fan mentions,Milan Martin feels inconsistent to some supporters,0.0262,5,1,Milan Martin,0.3333333333333333,0.11833999999999999,0.0,0.0,6.832943925233645,0.05,2.316530373831775,0.18976107990730862,4.98,5.16,5.6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,2023Q1,706.0,0,0,29.92,21.71,5.6,3,28.0,1029,Milan Martin looks brilliant after 1029 fan mentions | Milan Martin looks clinical after 1029 fan mentions,Milan Martin feels inconsistent to some supporters,0.0376,2,1,Milan Martin,0.3333333333333333,0.12632,0.0,0.0,6.58172804532578,0.05555555555555555,2.220271482530689,-0.096258891301086,5.13,4.98,5.55,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,2023Q2,774.9,0,0,23.99,33.64,5.55,3,28.25,1439,Milan Martin looks brilliant after 1439 fan mentions | Milan Martin looks clinical after 1439 fan mentions,Milan Martin feels inconsistent to some supporters,0.3973,11,1,Milan Martin,0.3333333333333333,0.37810999999999995,0.0,0.0,6.693379790940766,0.05,2.2676829268292678,0.04741144429857869,5.6,5.13,4.56,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
